word,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english,everyday_english
abandon,0,1,1,0,1,1,0,0
abbreviate,0,0,1,0,0,1,1,0
ability,1,1,1,1,1,1,1,1
abnormal,0,1,1,0,1,1,0,0
abolish,0,1,1,0,1,1,0,0
abortion,0,0,1,0,0,1,0,0
abound,0,0,1,0,0,1,0,0
abroad,1,1,1,1,1,1,0,1
abrupt,0,1,1,0,1,1,0,0
absence,1,1,1,1,1,1,1,1
absolute,0,1,1,0,1,1,0,0
absorb,0,1,1,0,1,1,0,0
abstract,0,1,1,0,1,1,0,0
absurd,0,0,1,0,0,1,0,0
abundance,0,1,1,0,1,1,0,0
abuse,0,1,1,0,1,1,0,0
academic,1,1,1,1,1,1,0,0
accelerate,0,1,1,0,1,1,1,0
accent,1,1,1,1,1,1,0,1
accept,1,1,1,1,1,1,1,1
access,0,1,1,0,1,1,1,1
accessible,0,1,1,0,1,1,1,0
accident,1,1,1,1,1,1,0,1
accommodate,0,1,1,0,1,1,1,0
accompany,0,1,1,0,1,1,0,0
accomplish,0,1,1,0,1,1,1,0
accord,0,1,1,0,1,1,1,0
account,1,1,1,1,1,1,1,1
accountant,0,1,1,0,1,1,1,0
accumulate,0,1,1,0,1,1,1,0
accurate,0,1,1,0,1,1,1,0
accuse,0,1,1,0,1,1,0,0
achieve,1,1,1,1,1,1,1,1
acid,0,1,1,0,1,1,0,0
acknowledge,0,1,1,0,1,1,1,0
acquire,0,1,1,0,1,1,1,0
acre,0,1,1,0,1,1,0,0
act,1,1,1,1,1,1,1,1
action,1,1,1,1,1,1,1,1
activate,0,1,1,0,1,1,0,0
active,1,1,1,1,1,1,1,1
activity,1,1,1,1,1,1,1,1
actor,1,1,1,1,1,1,0,1
actual,1,1,1,1,1,1,1,1
acute,0,1,1,0,1,1,0,0
adapt,0,1,1,0,1,1,1,0
add,1,1,1,1,1,1,1,1
addict,0,1,1,0,1,1,0,0
addition,1,1,1,1,1,1,1,1
address,1,1,1,1,1,1,1,1
adequate,0,1,1,0,1,1,1,0
adhere,0,0,1,0,0,1,1,0
adjacent,0,1,1,0,1,1,0,0
adjust,0,1,1,0,1,1,1,0
administer,0,1,1,0,1,1,1,0
administration,0,1,1,0,1,1,1,0
admire,1,1,1,1,1,1,0,1
admission,0,1,1,0,1,1,0,0
admit,1,1,1,1,1,1,0,1
adolescent,0,1,1,0,1,1,0,0
adopt,0,1,1,0,1,1,1,0
adult,1,1,1,1,1,1,0,1
advance,0,1,1,0,1,1,1,0
advantage,1,1,1,1,1,1,1,1
adventure,1,1,1,1,1,1,0,1
adverse,0,0,1,0,0,1,1,0
advertise,0,1,1,0,1,1,1,1
advice,1,1,1,1,1,1,1,1
advise,1,1,1,1,1,1,1,1
advocate,0,1,1,0,1,1,1,0
aesthetic,0,0,1,0,0,1,0,0
affair,0,1,1,0,1,1,1,0
affect,0,1,1,0,1,1,1,0
affection,0,1,1,0,1,1,0,0
afford,1,1,1,1,1,1,1,1
afraid,1,1,1,1,1,1,0,1
age,1,1,1,1,1,1,1,1
agency,0,1,1,0,1,1,1,0
agenda,0,1,1,0,1,1,1,0
agent,0,1,1,0,1,1,1,0
aggression,0,1,1,0,1,1,0,0
agile,0,0,1,0,0,1,1,0
aging,0,1,1,0,1,1,0,0
agree,1,1,1,1,1,1,1,1
agreement,1,1,1,1,1,1,1,1
agriculture,0,1,1,0,1,1,0,0
aid,0,1,1,0,1,1,1,0
aim,1,1,1,1,1,1,1,1
