word,everyday_english,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english
damage,1,1,0,0,1,0,0,0
danger,1,1,0,0,1,0,0,0
data,1,1,0,0,1,0,0,1
date,1,1,0,0,1,0,0,0
daughter,1,1,0,0,1,0,0,0
deal,1,1,0,0,1,0,0,1
debate,0,1,0,0,1,0,0,0
debt,1,1,0,0,1,0,0,1
decade,0,1,0,0,1,0,0,0
decay,0,0,1,0,0,1,0,0
deceive,0,0,1,0,0,1,0,0
decent,1,1,0,0,1,0,0,0
decide,1,1,0,0,1,0,0,0
decision,1,1,0,0,1,0,0,1
declare,0,1,0,0,1,0,0,0
decline,0,1,0,0,1,0,0,1
dedicate,0,0,1,0,0,1,0,0
deed,0,0,1,0,0,1,0,0
deem,0,0,1,0,0,1,0,1
deep,1,1,0,0,1,0,0,0
default,0,0,1,0,0,1,0,1
defeat,0,1,0,0,1,0,0,0
defend,0,1,0,0,1,0,0,0
defer,0,0,1,0,0,1,0,1
defiance,0,0,0,1,0,0,1,0
deficient,0,0,1,0,0,1,0,0
deficit,0,0,1,0,0,1,0,1
define,0,1,0,0,1,0,0,0
definite,0,1,0,0,1,0,0,0
defy,0,0,1,0,0,1,0,0
degree,1,1,0,0,1,0,0,0
delay,1,1,0,0,1,0,0,1
delegate,0,0,1,0,0,1,0,1
deliberate,0,0,1,0,0,1,0,0
delicate,0,0,1,0,0,1,0,0
delight,0,1,0,0,1,0,0,0
deliver,1,1,0,0,1,0,0,1
demand,1,1,0,0,1,0,0,1
democracy,0,1,0,0,1,0,0,0
demographic,0,0,1,0,0,1,0,1
demonstrate,0,1,0,0,1,0,0,0
denial,0,0,1,0,0,1,0,0
dense,0,0,1,0,0,1,0,0
deny,0,1,0,0,1,0,0,0
depart,0,1,0,0,1,0,0,0
depend,1,1,0,0,1,0,0,0
depict,0,0,1,0,0,1,0,0
deplete,0,0,0,1,0,0,1,0
deploy,0,0,1,0,0,1,0,1
deposit,1,1,0,0,1,0,0,1
depress,0,0,1,0,0,1,0,0
deprive,0,0,1,0,0,1,0,0
depth,0,1,0,0,1,0,0,0
