word,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english,everyday_english
jab,0,0,0,0,1,0,0,1
jacket,1,0,0,1,0,0,0,1
jail,1,0,0,1,0,0,0,1
jam,1,0,0,1,0,0,0,1
jar,1,0,0,1,0,0,0,1
jaw,0,1,0,0,1,0,0,1
jealous,1,0,0,1,0,0,0,1
jeans,1,0,0,1,0,0,0,1
jeopardize,0,0,1,0,0,1,1,0
jet,1,0,0,1,0,0,0,1
jewel,1,0,0,1,0,0,0,1
jewelry,1,0,0,1,0,0,0,1
job,1,0,0,1,0,0,1,1
jog,1,0,0,1,0,0,0,1
join,1,0,0,1,0,0,1,1
joint,0,1,0,0,1,0,1,1
joke,1,0,0,1,0,0,0,1
journal,0,1,0,0,1,0,1,1
journalism,0,1,0,0,1,0,0,0
journalist,0,1,0,0,1,0,0,1
journey,1,0,0,1,0,0,0,1
joy,1,0,0,1,0,0,0,1
judge,1,0,0,1,0,0,0,1
judgment,0,1,0,0,1,0,1,1
judicial,0,0,1,0,0,1,1,0
juice,1,0,0,1,0,0,0,1
jump,1,0,0,1,0,0,0,1
junction,0,1,0,0,1,0,0,0
jungle,1,0,0,1,0,0,0,1
junior,1,0,0,1,0,0,1,1
junk,1,0,0,1,0,0,0,1
jurisdiction,0,0,1,0,0,1,1,0
juror,0,1,0,0,1,0,0,0
jury,0,1,0,0,1,0,0,1
just,1,0,0,1,0,0,0,1
justice,1,0,0,1,0,0,0,1
justify,0,1,0,0,1,0,1,0
juvenile,0,0,1,0,0,1,0,0
keen,0,1,0,0,1,0,0,1
keep,1,0,0,1,0,0,1,1
kettle,1,0,0,1,0,0,0,1
key,1,0,0,1,0,0,1,1
keyboard,1,0,0,1,0,0,0,1
kick,1,0,0,1,0,0,0,1
kid,1,0,0,1,0,0,0,1
kidnap,0,1,0,0,1,0,0,0
kidney,0,1,0,0,1,0,0,0
kill,1,0,0,1,0,0,0,1
kilogram,1,0,0,1,0,0,0,1
kilometer,1,0,0,1,0,0,0,1
kind,1,0,0,1,0,0,0,1
kindergarten,1,0,0,1,0,0,0,1
king,1,0,0,1,0,0,0,1
kingdom,1,0,0,1,0,0,0,1
kiss,1,0,0,1,0,0,0,1
kit,1,0,0,1,0,0,0,1
kitchen,1,0,0,1,0,0,0,1
kite,1,0,0,1,0,0,0,1
knee,1,0,0,1,0,0,0,1
kneel,0,1,0,0,1,0,0,1
knife,1,0,0,1,0,0,0,1
knit,0,1,0,0,1,0,0,1
knob,0,1,0,0,1,0,0,1
knock,1,0,0,1,0,0,0,1
knot,0,1,0,0,1,0,0,1
know,1,0,0,1,0,0,1,1
knowledge,1,0,0,1,0,0,1,1
lab,1,0,0,1,0,0,0,1
label,1,0,0,1,0,0,1,1
labor,1,0,0,1,0,0,1,1
laboratory,0,1,0,0,1,0,0,0
labour,0,0,0,1,0,0,1,1
lace,0,1,0,0,1,0,0,1
lack,0,1,0,0,1,0,1,1
ladder,1,0,0,1,0,0,0,1
lag,0,1,0,0,1,0,1,0
lake,1,0,0,1,0,0,0,1
lamb,1,0,0,1,0,0,0,1
lame,0,1,0,0,1,0,0,1
lamp,1,0,0,1,0,0,0,1
land,1,0,0,1,0,0,0,1
landlord,0,1,0,0,1,0,0,1
landmark,0,1,0,0,1,0,0,1
landscape,0,1,0,0,1,0,0,1
lane,1,0,0,1,0,0,0,1
language,1,0,0,1,0,0,1,1
lap,1,0,0,1,0,0,0,1
laptop,1,0,0,1,0,0,1,1
large,1,0,0,1,0,0,1,1
laser,0,1,0,0,1,0,0,0
last,1,0,0,1,0,0,1,1
late,1,0,0,1,0,0,1,1
latent,0,0,1,0,0,1,1,0
lateral,0,0,1,0,0,1,0,0
latter,0,1,0,0,1,0,1,0
laugh,1,0,0,1,0,0,0,1
launch,0,1,0,0,1,0,1,1
laundry,1,0,0,1,0,0,0,1
lava,0,1,0,0,1,0,0,0
law,1,0,0,1,0,0,1,1
lawn,1,0,0,1,0,0,0,1
lawsuit,0,1,0,0,1,0,1,0
lawyer,1,0,0,1,0,0,1,1
lay,1,0,0,1,0,0,0,1
layer,0,1,0,0,1,0,1,1
layout,0,1,0,0,1,0,1,0
lazy,1,0,0,1,0,0,0,1
lead,1,0,0,1,0,0,1,1
leader,1,0,0,1,0,0,1,1
leadership,0,1,0,0,1,0,1,0
leaf,1,0,0,1,0,0,0,1
league,0,1,0,0,1,0,0,1
leak,0,1,0,0,1,0,0,1
lean,0,1,0,0,1,0,1,1
leap,0,1,0,0,1,0,0,1
learn,1,0,0,1,0,0,1,1
lease,0,1,0,0,1,0,1,0
least,1,0,0,1,0,0,1,1
leather,1,0,0,1,0,0,0,1
leave,1,0,0,1,0,0,1,1
lecture,0,1,0,0,1,0,0,1
left,1,0,0,1,0,0,0,1
leg,1,0,0,1,0,0,0,1
legacy,0,0,1,0,0,1,1,0
legal,0,1,0,0,1,0,1,1
legend,0,1,0,0,1,0,0,1
legislation,0,0,1,0,0,1,1,0
legitimate,0,0,1,0,0,1,1,0
leisure,0,1,0,0,1,0,0,1
lemon,1,0,0,1,0,0,0,1
lend,1,0,0,1,0,0,1,1
length,1,0,0,1,0,0,0,1
lens,0,1,0,0,1,0,0,1
leopard,0,1,0,0,1,0,0,0
less,1,0,0,1,0,0,1,1
lessen,0,1,0,0,1,0,0,0
lesson,1,0,0,1,0,0,0,1
