word,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english,everyday_english
machine,1,1,1,1,1,1,1,1
magazine,1,1,1,1,1,1,0,1
magic,1,1,1,1,1,1,0,1
main,1,1,1,1,1,1,1,1
maintain,0,1,1,0,1,1,1,1
major,1,1,1,1,1,1,1,1
majority,0,1,1,0,1,1,1,0
make,1,1,1,1,1,1,1,1
male,1,1,1,1,1,1,0,1
mammal,0,1,1,0,1,1,0,0
man,1,1,1,1,1,1,1,1
manage,1,1,1,1,1,1,1,1
management,0,1,1,0,1,1,1,0
manager,1,1,1,1,1,1,1,1
mandate,0,0,1,0,0,1,1,0
manifest,0,0,1,0,0,1,0,0
manipulate,0,0,1,0,0,1,0,0
manner,0,1,1,0,1,1,1,1
manual,0,1,1,0,1,1,1,1
manufacture,0,1,1,0,1,1,1,0
many,1,1,1,1,1,1,1,1
map,1,1,1,1,1,1,0,1
margin,0,1,1,0,1,1,1,0
marginal,0,0,1,0,0,1,1,0
marine,0,1,1,0,1,1,0,0
mark,1,1,1,1,1,1,1,1
market,1,1,1,1,1,1,1,1
marriage,1,1,1,1,1,1,0,1
marry,1,1,1,1,1,1,0,1
mass,0,1,1,0,1,1,0,1
massive,0,1,1,0,1,1,0,1
master,1,1,1,1,1,1,1,1
match,1,1,1,1,1,1,1,1
mate,0,1,1,0,1,1,0,1
material,1,1,1,1,1,1,1,1
math,1,1,1,1,1,1,0,1
matter,1,1,1,1,1,1,1,1
mature,0,1,1,0,1,1,1,1
maximize,0,0,1,0,0,1,1,0
maximum,0,1,1,0,1,1,1,0
may,1,1,1,1,1,1,1,1
maybe,1,1,1,1,1,1,1,1
mayor,0,1,1,0,1,1,0,0
meal,1,1,1,1,1,1,0,1
mean,1,1,1,1,1,1,1,1
meaning,1,1,1,1,1,1,1,1
means,1,1,1,1,1,1,1,1
meanwhile,0,1,1,0,1,1,0,0
measure,1,1,1,1,1,1,1,1
measurement,0,1,1,0,1,1,1,0
meat,1,1,1,1,1,1,0,1
mechanic,0,1,1,0,1,1,0,1
mechanism,0,0,1,0,0,1,1,0
medal,1,1,1,1,1,1,0,1
media,1,1,1,1,1,1,1,1
median,0,0,1,0,0,1,1,0
mediate,0,0,1,0,0,1,1,0
medical,1,1,1,1,1,1,0,1
medicine,1,1,1,1,1,1,0,1
medieval,0,1,1,0,1,1,0,0
meditate,0,0,1,0,0,1,0,0
medium,0,1,1,0,1,1,1,1
meet,1,1,1,1,1,1,1,1
meeting,1,1,1,1,1,1,1,1
melt,1,1,1,1,1,1,0,1
member,1,1,1,1,1,1,1,1
membership,0,1,1,0,1,1,1,0
membrane,0,0,1,0,0,1,0,0
memo,0,1,1,0,1,1,1,0
memoir,0,0,1,0,0,1,0,0
memory,1,1,1,1,1,1,0,1
mental,1,1,1,1,1,1,0,1
mention,1,1,1,1,1,1,1,1
mentor,0,1,1,0,1,1,1,0
menu,1,1,1,1,1,1,1,1
merchant,0,1,1,0,1,1,1,0
mercy,0,1,1,0,1,1,0,0
mere,0,1,1,0,1,1,0,0
