word,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english,everyday_english
pace,1,0,0,1,0,0,1,1
pack,1,0,0,1,0,0,0,1
page,1,0,0,1,0,0,0,1
pain,1,0,0,1,0,0,0,1
paint,1,0,0,1,0,0,0,1
pair,1,0,0,1,0,0,0,1
palace,1,0,0,1,0,0,0,1
pale,1,0,0,1,0,0,0,1
panel,0,1,0,0,1,0,1,0
paper,1,0,0,1,0,0,1,1
paradigm,0,0,1,0,0,1,1,0
paradox,0,1,0,0,1,0,0,0
paragraph,1,0,0,1,0,0,0,1
parallel,0,1,0,0,1,0,0,0
parameter,0,1,0,0,1,0,1,0
paramount,0,0,1,0,0,1,1,0
parcel,0,1,0,0,1,0,1,1
parent,1,0,0,1,0,0,0,1
park,1,0,0,1,0,0,0,1
parliament,0,1,0,0,1,0,0,0
part,1,0,0,1,0,0,1,1
participate,0,1,0,0,1,0,1,0
particle,0,1,0,0,1,0,0,0
particular,0,1,0,0,1,0,1,0
partner,1,0,0,1,0,0,1,1
party,1,0,0,1,0,0,0,1
pass,1,0,0,1,0,0,0,1
passage,0,1,0,0,1,0,0,0
passion,1,0,0,1,0,0,0,1
passive,0,1,0,0,1,0,0,0
past,1,0,0,1,0,0,0,1
path,1,0,0,1,0,0,0,1
patience,1,0,0,1,0,0,0,1
patient,1,0,0,1,0,0,0,1
pattern,0,1,0,0,1,0,1,0
pause,1,0,0,1,0,0,0,1
pay,1,0,0,1,0,0,1,1
peace,1,0,0,1,0,0,0,1
peak,0,1,0,0,1,0,1,0
peculiar,0,1,0,0,1,0,0,0
pedagogy,0,0,1,0,0,1,0,0
peer,0,1,0,0,1,0,1,0
penalty,0,1,0,0,1,0,1,0
penetrate,0,0,1,0,0,1,0,0
pension,0,1,0,0,1,0,1,0
people,1,0,0,1,0,0,0,1
perceive,0,1,0,0,1,0,0,0
percent,1,0,0,1,0,0,1,1
perception,0,1,0,0,1,0,1,0
perfect,1,0,0,1,0,0,0,1
perform,1,0,0,1,0,0,1,1
performance,0,1,0,0,1,0,1,0
perhaps,1,0,0,1,0,0,0,1
peril,0,0,1,0,0,1,0,0
period,1,0,0,1,0,0,1,1
peripheral,0,0,1,0,0,1,0,0
permanent,0,1,0,0,1,0,1,0
permission,1,0,0,1,0,0,1,1
permit,0,1,0,0,1,0,1,0
perpetual,0,0,1,0,0,1,0,0
persecute,0,0,1,0,0,1,0,0
persist,0,1,0,0,1,0,0,0
person,1,0,0,1,0,0,0,1
personal,1,0,0,1,0,0,1,1
personality,0,1,0,0,1,0,0,1
personnel,0,1,0,0,1,0,1,0
perspective,0,1,0,0,1,0,1,0
persuade,0,1,0,0,1,0,1,0
pertain,0,0,1,0,0,1,1,0
pertinent,0,0,1,0,0,1,1,0
pervasive,0,0,1,0,0,1,0,0
pessimism,0,1,0,0,1,0,0,0
pet,1,0,0,1,0,0,0,1
petition,0,1,0,0,1,0,1,0
petroleum,0,1,0,0,1,0,0,0
phase,0,1,0,0,1,0,1,0
phenomenon,0,1,0,0,1,0,0,0
philosophy,0,1,0,0,1,0,0,0
phone,1,0,0,1,0,0,0,1
photo,1,0,0,1,0,0,0,1
