word,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english,everyday_english
xenophobia,0,0,1,0,0,1,0,0
xerox,0,0,0,0,0,0,1,1
yacht,0,1,0,0,1,0,0,0
yard,1,0,0,1,0,0,0,1
yarn,0,1,0,0,1,0,0,1
yawn,1,0,0,1,0,0,0,1
year,1,0,0,1,0,0,1,1
yearn,0,0,1,0,0,1,0,0
yeast,0,1,0,0,1,0,0,1
yell,1,0,0,1,0,0,0,1
yellow,1,0,0,1,0,0,0,1
yes,1,0,0,1,0,0,0,1
yesterday,1,0,0,1,0,0,0,1
yet,1,0,0,1,0,0,0,1
yield,0,1,1,0,1,1,1,0
yoga,0,1,0,0,1,0,0,1
yoke,0,0,1,0,0,1,0,0
yolk,1,0,0,1,0,0,0,1
young,1,0,0,1,0,0,0,1
youngster,0,1,0,0,1,0,0,1
youth,0,1,0,0,1,0,1,1
zeal,0,0,1,0,0,1,0,0
zealot,0,0,1,0,0,1,0,0
zealous,0,0,1,0,0,1,1,0
zenith,0,0,1,0,0,1,0,0
zero,1,0,0,1,0,0,1,1
zest,0,1,0,0,1,0,0,0
zigzag,0,1,0,0,1,0,0,1
zinc,0,1,0,0,1,0,0,0
zip,1,0,0,1,0,0,0,1
zone,0,1,0,0,1,0,1,1
zoo,1,0,0,1,0,0,0,1
zoom,0,1,0,0,1,0,1,1
