word,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english,everyday_english
gain,1,1,0,1,1,0,1,1
gallery,1,0,0,1,0,0,0,1
game,1,0,0,1,0,0,0,1
gap,1,1,0,1,1,0,1,1
garage,1,0,0,1,0,0,0,1
garbage,1,0,0,1,0,0,0,1
garden,1,0,0,1,0,0,0,1
garment,0,1,0,0,1,0,1,0
gas,1,0,0,1,0,0,0,1
gate,1,0,0,1,0,0,0,1
gather,1,1,0,1,1,0,0,1
gauge,0,1,1,0,1,1,1,0
gaze,0,1,0,0,1,0,0,0
gear,1,1,0,1,1,0,1,1
gem,0,1,0,0,1,0,0,0
gender,1,1,0,1,1,0,1,1
gene,0,1,1,0,1,1,0,0
generate,0,1,1,0,1,1,1,0
generation,1,1,0,1,1,0,0,1
generous,1,1,0,1,1,0,0,1
genetic,0,1,1,0,1,1,0,0
genius,1,1,0,1,1,0,0,1
genre,0,1,0,0,1,0,0,0
gentle,1,0,0,1,0,0,0,1
genuine,0,1,0,0,1,0,1,1
geography,1,1,0,1,1,0,0,0
geology,0,1,1,0,1,1,0,0
geometry,0,1,0,0,1,0,0,0
germ,1,0,0,1,0,0,0,0
gesture,0,1,0,0,1,0,1,0
giant,1,0,0,1,0,0,0,1
gift,1,0,0,1,0,0,0,1
gigantic,0,1,0,0,1,0,0,0
glacier,0,1,1,0,1,1,0,0
glance,1,1,0,1,1,0,0,1
glare,0,1,0,0,1,0,0,0
glass,1,0,0,1,0,0,0,1
glean,0,0,1,0,0,1,0,0
glide,0,1,0,0,1,0,0,0
glimpse,0,1,0,0,1,0,0,0
glitter,0,1,0,0,1,0,0,0
global,1,1,0,1,1,0,1,1
globe,1,0,0,1,0,0,0,1
gloomy,0,1,0,0,1,0,0,0
glorious,0,1,0,0,1,0,0,0
glory,1,1,0,1,1,0,0,0
glossary,0,1,0,0,1,0,0,0
glow,0,1,0,0,1,0,0,1
glucose,0,1,1,0,1,1,0,0
glue,1,0,0,1,0,0,0,1
goal,1,1,0,1,1,0,1,1
