word,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english,everyday_english
safe,1,0,0,1,0,0,0,1
salary,1,0,0,1,0,0,1,1
sale,1,0,0,1,0,0,1,1
sample,1,0,0,1,0,0,1,1
satisfy,1,0,0,1,0,0,0,1
save,1,0,0,1,0,0,1,1
scale,0,1,0,0,1,0,1,0
scan,0,1,0,0,1,0,0,1
scarce,0,1,0,0,1,0,0,0
scatter,0,1,0,0,1,0,0,0
scenario,0,1,0,0,1,0,1,0
scene,1,0,0,1,0,0,0,1
schedule,1,0,0,1,0,0,1,1
scheme,0,1,0,0,1,0,1,0
scholar,0,1,0,0,1,0,0,0
scholarship,0,1,0,0,1,0,0,0
science,1,0,0,1,0,0,0,1
scope,0,1,0,0,1,0,1,0
score,1,0,0,1,0,0,0,1
screen,1,0,0,1,0,0,0,1
script,0,1,0,0,1,0,0,0
scrutiny,0,0,1,0,0,1,1,0
search,1,0,0,1,0,0,0,1
season,1,0,0,1,0,0,0,1
seat,1,0,0,1,0,0,0,1
second,1,0,0,1,0,0,0,1
secret,1,0,0,1,0,0,0,1
section,1,0,0,1,0,0,1,1
sector,0,1,0,0,1,0,1,0
secure,0,1,0,0,1,0,1,1
security,1,0,0,1,0,0,1,1
sediment,0,0,1,0,0,1,0,0
seek,0,1,0,0,1,0,1,0
segment,0,1,0,0,1,0,1,0
seize,0,1,0,0,1,0,0,0
select,1,0,0,1,0,0,1,1
self,1,0,0,1,0,0,0,1
sell,1,0,0,1,0,0,1,1
semester,1,0,0,1,0,0,0,0
senate,0,1,0,0,1,0,0,0
senator,0,1,0,0,1,0,0,0
send,1,0,0,1,0,0,1,1
senior,1,0,0,1,0,0,1,1
sense,1,0,0,1,0,0,0,1
sensitive,0,1,0,0,1,0,1,1
sentence,1,0,0,1,0,0,0,1
sentiment,0,0,1,0,0,1,1,0
separate,1,0,0,1,0,0,0,1
sequence,0,1,0,0,1,0,0,0
series,1,0,0,1,0,0,1,1
serious,1,0,0,1,0,0,1,1
serve,1,0,0,1,0,0,1,1
service,1,0,0,1,0,0,1,1
session,0,1,0,0,1,0,1,1
set,1,0,0,1,0,0,1,1
settle,1,0,0,1,0,0,0,1
settlement,0,1,0,0,1,0,1,0
severe,0,1,0,0,1,0,0,0
shade,1,0,0,1,0,0,0,1
shadow,1,0,0,1,0,0,0,1
shake,1,0,0,1,0,0,0,1
shallow,0,1,0,0,1,0,0,1
shame,1,0,0,1,0,0,0,1
shape,1,0,0,1,0,0,0,1
share,1,0,0,1,0,0,1,1
sharp,1,0,0,1,0,0,0,1
shatter,0,1,0,0,1,0,0,0
shed,0,1,0,0,1,0,0,1
sheer,0,0,1,0,0,1,0,0
sheet,1,0,0,1,0,0,1,1
shelf,1,0,0,1,0,0,0,1
shell,1,0,0,1,0,0,0,1
shelter,0,1,0,0,1,0,0,1
shield,0,1,0,0,1,0,0,0
shift,0,1,0,0,1,0,1,1
shine,1,0,0,1,0,0,0,1
ship,1,0,0,1,0,0,1,1
shipment,0,1,0,0,1,0,1,0
shock,1,0,0,1,0,0,0,1
shoot,1,0,0,1,0,0,0,1
shop,1,0,0,1,0,0,1,1
shore,1,0,0,1,0,0,0,1
short,1,0,0,1,0,0,0,1
shortage,0,1,0,0,1,0,1,0
shot,1,0,0,1,0,0,0,1
shoulder,1,0,0,1,0,0,0,1
shout,1,0,0,1,0,0,0,1
show,1,0,0,1,0,0,1,1
shrink,0,1,0,0,1,0,1,1
shut,1,0,0,1,0,0,0,1
sibling,0,1,0,0,1,0,0,1
sick,1,0,0,1,0,0,0,1
side,1,0,0,1,0,0,0,1
sigh,0,1,0,0,1,0,0,1
sight,1,0,0,1,0,0,0,1
sign,1,0,0,1,0,0,1,1
signal,0,1,0,0,1,0,1,1
signature,0,1,0,0,1,0,1,1
significance,0,1,0,0,1,0,1,0
significant,0,1,0,0,1,0,1,0
silence,1,0,0,1,0,0,0,1
silent,1,0,0,1,0,0,0,1
silk,1,0,0,1,0,0,0,1
silly,1,0,0,1,0,0,0,1
silver,1,0,0,1,0,0,0,1
similar,1,0,0,1,0,0,1,1
simple,1,0,0,1,0,0,0,1
simplify,0,1,0,0,1,0,1,0
simulate,0,0,1,0,0,1,1,0
simultaneous,0,0,1,0,0,1,1,0
sin,0,1,0,0,1,0,0,1
since,1,0,0,1,0,0,0,1
sincere,0,1,0,0,1,0,0,1
sing,1,0,0,1,0,0,0,1
single,1,0,0,1,0,0,1,1
sink,1,0,0,1,0,0,0,1
sir,1,0,0,1,0,0,1,1
sister,1,0,0,1,0,0,0,1
sit,1,0,0,1,0,0,0,1
site,1,0,0,1,0,0,1,1
situate,0,1,0,0,1,0,0,0
situation,1,0,0,1,0,0,1,1
size,1,0,0,1,0,0,1,1
skeleton,0,1,0,0,1,0,0,0
sketch,0,1,0,0,1,0,0,1
skill,1,0,0,1,0,0,1,1
skin,1,0,0,1,0,0,0,1
skip,1,0,0,1,0,0,0,1
sky,1,0,0,1,0,0,0,1
slave,0,1,0,0,1,0,0,0
slavery,0,1,0,0,1,0,0,0
sleep,1,0,0,1,0,0,0,1
slice,1,0,0,1,0,0,0,1
slide,1,0,0,1,0,0,1,1
slight,0,1,0,0,1,0,0,1
slip,1,0,0,1,0,0,0,1
slope,0,1,0,0,1,0,0,0
slow,1,0,0,1,0,0,0,1
small,1,0,0,1,0,0,0,1
smart,1,0,0,1,0,0,0,1
smell,1,0,0,1,0,0,0,1
smile,1,0,0,1,0,0,0,1
smoke,1,0,0,1,0,0,0,1
smooth,1,0,0,1,0,0,0,1
snap,0,1,0,0,1,0,0,1
snow,1,0,0,1,0,0,0,1
so,1,0,0,1,0,0,0,1
soak,0,1,0,0,1,0,0,1
soar,0,0,1,0,0,1,1,0
social,1,0,0,1,0,0,1,1
society,1,0,0,1,0,0,0,1
soft,1,0,0,1,0,0,0,1
software,1,0,0,1,0,0,1,1
soil,1,0,0,1,0,0,0,1
solar,0,1,0,0,1,0,0,0
soldier,1,0,0,1,0,0,0,1
sole,0,1,0,0,1,0,1,0
solid,1,0,0,1,0,0,0,1
solidarity,0,0,1,0,0,1,0,0
solution,1,0,0,1,0,0,1,1
solve,1,0,0,1,0,0,1,1
some,1,0,0,1,0,0,0,1
somebody,1,0,0,1,0,0,0,1
somehow,1,0,0,1,0,0,0,1
someone,1,0,0,1,0,0,0,1
something,1,0,0,1,0,0,0,1
sometime,1,0,0,1,0,0,0,1
somewhat,0,1,0,0,1,0,1,1
somewhere,1,0,0,1,0,0,0,1
son,1,0,0,1,0,0,0,1
song,1,0,0,1,0,0,0,1
soon,1,0,0,1,0,0,0,1
sophisticated,0,0,1,0,0,1,1,0
sore,1,0,0,1,0,0,0,1
sorry,1,0,0,1,0,0,0,1
sort,1,0,0,1,0,0,1,1
soul,1,0,0,1,0,0,0,1
sound,1,0,0,1,0,0,0,1
source,1,0,0,1,0,0,1,1
south,1,0,0,1,0,0,0,1
southern,1,0,0,1,0,0,0,1
sovereign,0,0,1,0,0,1,1,0
sovereignty,0,0,1,0,0,1,0,0
space,1,0,0,1,0,0,0,1
span,0,1,0,0,1,0,1,0
spare,0,1,0,0,1,0,0,1
spark,0,1,0,0,1,0,0,1
speak,1,0,0,1,0,0,1,1
